Number,Composer/Arranger,Title,Full or String,UIL Rating,Notes,Scanned?,Issues?
333,V. Giannini,Symphony #2,Full Orchestra,N,,,
334,Reinhold Glière,"Russian Sailor's Dance from ""The Red Poppy""",string,N,,,
335,M. I. Glinka ,Russlan and Ludmilla Overture,Full Orchestra,5,,,
336,M. I. Glinka ,Russlan and Ludmilla Overture,Full Orchestra,5,Scores,,
337,C. W. von Gluck,Air de Ballet,F,1,,,
338,C. W. von Gluck,Overture to the Ballet Don Juan,S,N,,,
339,C. W. von Gluck,Iphigenia in Aulis,S,3,3 - full orchestra,,
340,Morton Gould,Guaracha,string,5,5 - full orchestra,,
341,Gounod/Walter,"Waltz from ""Faust""",Full Orchestra,N,,,
342,Percy Grainger,Irish Tune from Country Derry,Full Orchestra,non IUL,,,
343,J. G. Groun/Barnes,Frederick the Great Overture,Full Orchestra,4,,,
344,Grieg/Wilson,Heart Wounds,Full Orchestra,5,play all,,
345,Grieg/Stone,Two Lyric Pieces,Full,3,,,
346,Grofe,Grand Canyon Suite,String,5,Score,,
347,Grofe,Grand Canyon Suite,String,5,Parts,,
348,Handel/Gordon,Firework Music,Full Orchestra,1,,,
349,Handel/Johnson,Music for the Royal Fireworks Overture,Full Orchestra,5,,,
350,Handel/Ormandy,Concerto in D (Fireworks Overture),Full Orchestra,N,,,
351,G. F. Handel,The Faithful Shepherd,Full Orchestra,4 or 5,,,
352,Handel/Kinder,Prelude & Fugue in D Minor,Full Orchestra,N,,,
353,Handel,Concerto for Orchestra in D Major,Full Orchestra,4,Kealing,,
354,Haydn,Symphony #104,Full Orchestra,N,,,
355,Haydn/Popper,Cello Concerto in C,Full Orchestra,N,,,
356,L. J. F. Herold,Zampa Overtures,Full Orchestra,N,,,
357,Q. Hillard,Chorales,string or Full Orchestra,N,Beg-Int.,,
358,Hofeldt,Song of the Prairy,Full Orchestra,4,,,
359,Holst,"Jupiter, from ""The Planets""",string,1,Scores & string parts,,
360,Holst,"Jupiter, from ""The Planets""",Full Orchestra,1,,,
361,Holst/Leidig,"""Jupiter - Bringer of Jollity"" from ""The Planets""",Full Orchestra,1,,,
362,Holst,Planets,string,1,mini scores,,
363,Michael M. Horvit,Toccatina,Full Orchestra,4,,,
364,Ippolitov-Ilanov/Isaac,Procession of the Sardar,Full,4,,,
365,M. Issac,Cavalier Overture,Full Orchestra,N,,,
366,M. Issac,Cavalier Overture,Full Orchestra,N,,,
367,M. Issac,Overture Russe,Full Orchestra,2,,,
368,Kabalevsky,Colas Breugnon Overture,Full Orchestra,5,No score,,
369,Kabalevsky,The Comedians,Full Orchestra,5,"1 of 3 Scores, winds brass, perc",,
370,Kabalevsky,The Comedians,Full Orchestra,5,2 of 3 Violins (7-7),,
371,Kabalevsky,The Comedians,Full Orchestra,5,"3 of 3 Violias, Cello, Bass",,
372,"Johnson, Robert G",Cortege,Full Orchestra,N,,,
373,"Leckrone, Michael",Harlequinette,Full Orchestra,N,,,
374,Lehmeieir,Spanish Dance,strings & percussion,N,,,
375,Matesky,Choreo Primo,Full Orchestra,4 or 5,,,
